Comando,NomeCat,NomeProd,Peso,Estoque,EstoqueMinimo,Disponivel,Preco,Lancamento,EmDestaque,Adicional1,Cores,IDProdutoPai
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46318,12542,1376167
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46319,12542,1376167
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46320,12542,1376167
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46321,12542,1376167
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46322,12542,1376167
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46323,12542,1376167
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46324,12542,1376167
I,Jaqueta,Jaqueta Astronauta,1,500,5,True,320,False,False,46325,12542,1376167
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
