Comando,NomeCat,NomeProd,Peso,Estoque,EstoqueMinimo,Disponivel,Preco,Lancamento,EmDestaque,Adicional1,Cores,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46318,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46319,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46320,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46321,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46322,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46323,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46324,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46325,12539,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46318,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46319,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46320,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46321,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46322,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46323,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46324,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46325,12540,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46318,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46319,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46320,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46321,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46322,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46323,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46324,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
I,Jaqueta,Jaqueta FJ MA1,1,500,5,True,230,False,False,46325,12542,1671088,,,,,,,,,,,,,,,,,,,,,,,
